-2.0,-6.0
-1.9,-5.609999999999999
-1.8,-5.24
-1.7,-4.89
-1.6,-4.5600000000000005
-1.5,-4.25
-1.4,-3.96
-1.3,-3.6900000000000004
-1.2,-3.44
-1.1,-3.2100000000000004
-1.0,-3.0
-0.9,-2.8100000000000005
-0.8,-2.6400000000000006
-0.7,-2.49
-0.6,-2.3600000000000003
-0.5,-2.25
-0.4,-2.16
-0.3,-2.09
-0.2,-2.04
-0.1,-2.0100000000000002
0.0,-2.0
0.1,-2.0100000000000002
0.2,-2.04
0.3,-2.09
0.4,-2.16
0.5,-2.25
0.6,-2.3600000000000003
0.7,-2.49
0.8,-2.6400000000000006
0.9,-2.8100000000000005
1.0,-3.0
1.1,-3.2100000000000004
1.2,-3.44
1.3,-3.6900000000000004
1.4,-3.96
1.5,-4.25
1.6,-4.5600000000000005
1.7,-4.89
1.8,-5.24
1.9,-5.609999999999999
2.0,-6.0
