-2.0,-1.8,-4.2
-1.9,-1.605,-4.005
-1.8,-1.4200000000000002,-3.8200000000000003
-1.7,-1.2449999999999999,-3.645
-1.6,-1.0800000000000003,-3.4800000000000004
-1.5,-0.925,-3.325
-1.4,-0.7799999999999998,-3.18
-1.3,-0.645,-3.0450000000000004
-1.2,-0.52,-2.92
-1.1,-0.4050000000000001,-2.805
-1.0,-0.3,-2.7
-0.9,-0.20500000000000002,-2.6050000000000004
-0.8,-0.12000000000000005,-2.5200000000000005
-0.7,-0.04499999999999996,-2.4450000000000003
-0.6,0.020000000000000018,-2.3800000000000003
-0.5,0.07500000000000001,-2.325
-0.4,0.12,-2.2800000000000002
-0.3,0.15500000000000003,-2.245
-0.2,0.18,-2.22
-0.1,0.195,-2.205
0.0,0.2,-2.2
0.1,0.195,-2.205
0.2,0.18,-2.22
0.3,0.15500000000000003,-2.245
0.4,0.12,-2.2800000000000002
0.5,0.07500000000000001,-2.325
0.6,0.020000000000000018,-2.3800000000000003
0.7,-0.04499999999999996,-2.4450000000000003
0.8,-0.12000000000000005,-2.5200000000000005
0.9,-0.20500000000000002,-2.6050000000000004
1.0,-0.3,-2.7
1.1,-0.4050000000000001,-2.805
1.2,-0.52,-2.92
1.3,-0.645,-3.0450000000000004
1.4,-0.7799999999999998,-3.18
1.5,-0.925,-3.325
1.6,-1.0800000000000003,-3.4800000000000004
1.7,-1.2449999999999999,-3.645
1.8,-1.4200000000000002,-3.8200000000000003
1.9,-1.605,-4.005
2.0,-1.8,-4.2
